,,,,,,"<Results of SALOME, time limit of 20 sec.>",,,"<Results of 10,000 runs of random search (with maximum load rule)>",,,,,<Graph structure measures>,,,,,,,,,,,<Times structure measures>,,,,,,,,,,,,,
<No>,<Filename>    ,<Graph structure>,<Desired OS> ,<Times distribution>,<Trickiness category>,<No of stations in optimum>,<Lower bound on the number of stations>,<Upper bound on the number of stations>,"<Optimum found? --> 1 for ""Yes"">","<Minimum 
No of stations found>"," <Share of instances
with found minimum> ", <Share of optimal solutions found> , <Trickiness measure> , <Order strength> ,<AIP>,<Max task degree>, <Degree of divergence> , <Degree of convergence> ,<Share of chain tasks>, <Avg chain length> ,<Share of bottleneck tasks>,"<Avg degree
of bottlenecks> "," <Avg No of tasks
per stage> "," <Share of tasks
without predecessors> ",<cycle time>, <Tsum/c> , <Tmin/c>,<Tmax/c>,<(Standard deviation of task times)/c> ,,,,,,,,,
1,instance_n=20_1,BN,0.2,peak at the bottom,less tricky,3,3,3,1,3, 0.703 , 0.703 , 0.298 , 0.268 ,0.8,5, 0.952 , 0.870 , 0.700 , 2.33 ,0.05,5, 4.00 , 0.25 ,1000, 2.882 ,0.034,0.282,0.067,,,,,,,,,
2,instance_n=20_2,BN,0.2,peak at the bottom,less tricky,3,3,3,1,3, 0.660 , 0.660 , 0.340 , 0.300 ,0.95,8, 0.870 , 0.741 , 0.300 , 2.00 ,0.05,8, 4.00 , 0.20 ,1000, 2.861 ,0.02,0.41,0.087,,,,,,,,,
3,instance_n=20_3,BN,0.2,peak at the bottom,less tricky,3,3,3,1,3, 0.997 , 0.997 , 0.003 , 0.300 ,0.9,8, 0.870 , 0.714 , 0.100 , 2.00 ,0.05,8, 4.00 , 0.25 ,1000, 2.785 ,0.022,0.287,0.068,,,,,,,,,
4,instance_n=20_4,BN,0.2,peak at the bottom,less tricky,3,3,3,1,3, 0.999 , 0.999 , 0.001 , 0.289 ,0.9,8, 0.870 , 0.714 , 0.100 , 2.00 ,0.05,8, 4.00 , 0.25 ,1000, 2.727 ,0.053,0.248,0.055,,,,,,,,,
5,instance_n=20_5,BN,0.2,peak at the bottom,less tricky,3,3,3,1,3, 0.767 , 0.767 , 0.233 , 0.289 ,0.9,8, 0.870 , 0.741 , 0.100 , 2.00 ,0.05,8, 4.00 , 0.25 ,1000, 2.837 ,0.027,0.303,0.085,,,,,,,,,
6,instance_n=20_6,BN,0.2,peak at the bottom,less tricky,3,3,3,1,3, 0.515 , 0.515 , 0.485 , 0.295 ,0.95,9, 0.833 , 0.741 , 0.300 , 2.00 ,0.05,9, 4.00 , 0.25 ,1000, 2.914 ,0.034,0.311,0.09,,,,,,,,,
7,instance_n=20_7,BN,0.2,peak at the bottom,less tricky,3,3,3,1,3, 0.940 , 0.940 , 0.060 , 0.300 ,0.9,8, 0.870 , 0.800 , 0.550 , 2.75 ,0.05,8, 4.00 , 0.25 ,1000, 2.786 ,0.028,0.281,0.072,,,,,,,,,
8,instance_n=20_8,BN,0.2,peak at the bottom,very tricky,3,3,3,1,3, 0.013 , 0.013 , 0.988 , 0.289 ,1,8, 0.870 , 0.667 , 0.200 , 2.00 ,0.05,8, 4.00 , 0.15 ,1000, 2.985 ,0.037,0.355,0.09,,,,,,,,,
9,instance_n=20_9,BN,0.2,peak at the bottom,tricky,3,3,3,1,3, 0.292 , 0.292 , 0.708 , 0.289 ,0.9,9, 0.870 , 0.714 , 0.100 , 2.00 ,0.05,9, 4.00 , 0.25 ,1000, 2.925 ,0.051,0.339,0.075,,,,,,,,,
10,instance_n=20_10,BN,0.2,peak at the bottom,less tricky,3,3,3,1,3, 0.994 , 0.994 , 0.006 , 0.279 ,0.85,9, 0.870 , 0.714 , 0.100 , 2.00 ,0.05,9, 4.00 , 0.30 ,1000, 2.831 ,0.026,0.383,0.094,,,,,,,,,
11,instance_n=20_11,BN,0.2,peak at the bottom,less tricky,3,3,3,1,3, 0.992 , 0.992 , 0.008 , 0.279 ,0.9,8, 0.870 , 0.741 , 0.200 , 2.00 ,0.05,8, 4.00 , 0.25 ,1000, 2.766 ,0.044,0.319,0.074,,,,,,,,,
12,instance_n=20_12,BN,0.2,peak at the bottom,tricky,3,3,3,1,3, 0.303 , 0.303 , 0.697 , 0.300 ,0.85,8, 0.870 , 0.769 , 0.200 , 2.00 ,0.05,8, 4.00 , 0.30 ,1000, 2.930 ,0.033,0.367,0.094,,,,,,,,,
13,instance_n=20_13,BN,0.2,peak at the bottom,less tricky,3,3,3,1,3, 0.766 , 0.766 , 0.234 , 0.268 ,0.85,9, 0.870 , 0.741 , 0.250 , 2.50 ,0.05,9, 4.00 , 0.30 ,1000, 2.896 ,0.023,0.373,0.085,,,,,,,,,
14,instance_n=20_14,BN,0.2,peak at the bottom,very tricky,3,3,3,1,3, 0.015 , 0.015 , 0.985 , 0.263 ,0.85,8, 0.870 , 0.800 , 0.450 , 3.00 ,0.05,8, 4.00 , 0.30 ,1000, 2.979 ,0.039,0.322,0.071,,,,,,,,,
15,instance_n=20_15,BN,0.2,peak at the bottom,very tricky,3,3,3,1,3, 0.008 , 0.008 , 0.992 , 0.295 ,0.9,8, 0.870 , 0.714 , 0.250 , 2.50 ,0.05,8, 4.00 , 0.25 ,1000, 2.981 ,0.034,0.265,0.061,,,,,,,,,
16,instance_n=20_16,BN,0.2,peak in the middle,very tricky,12,12,12,1,12, 0.011 , 0.011 , 0.989 , 0.232 ,0.85,4, 0.952 , 0.870 , 0.750 , 3.00 ,0.05,4, 4.00 , 0.20 ,1000, 10.376 ,0.342,0.813,0.12,,,,,,,,,
