Generation,BestSolution, Average in Solution
1,10685,15913.67
2,10685,15765.76
3,10685,15597.55
4,9807,15413.87
5,9807,15318.45
6,9807,15289.1
7,9807,15509.9
8,9807,15935.28
9,9807,16218.9
10,9807,16064.18
11,9807,16557.42
12,9807,16335.97
13,9807,16548.46
14,9807,16530.31
15,9807,16653.46
16,9807,16991.72
17,9807,17139.78
18,9807,17332.83
19,9807,17337.43
20,9807,17312.43
21,9807,17241.85
22,9807,17037.98
23,9807,17114.93
24,9807,17158.89
25,9807,17193.83
26,9807,16923.64
27,9807,16875.89
28,9642,16727.52
29,9642,16711.86
30,9642,16443.29
31,9381,16546.36
32,9322,16703.5
33,9322,16810.65
34,9322,16710.22
35,9322,16684.15
36,9182,16505.49
