Generation,BestSolution, Average in Solution
1,10658,15378.22
2,9982,15344.58
3,9982,15323.57
4,9982,15114.31
5,9982,14767.42
6,9982,14877.99
7,9982,14693.08
8,9982,15091.13
9,9982,15496.34
10,9982,15639.53
11,9982,15982.45
12,9940,15765.05
13,9940,15927.3
14,9940,16225.75
15,9940,16313.06
16,9940,16338.37
17,9940,16453.78
18,9940,16702.68
19,9940,16862.93
20,9940,16744.04
21,9940,16821.5
22,9940,16518.74
23,9940,16732.54
24,9940,16712.02
25,9940,16567.44
26,9940,16724.78
27,9940,16325.25
28,9940,16114.66
29,9940,15836.78
30,9940,15522.46
31,9940,15401.97
32,9940,15158.69
33,9940,14936.61
34,9940,15189.03
35,9940,15304.91
36,9940,15221.44
37,9940,15219.34
38,9940,15009.46
39,9940,14940.85
40,9940,15032.34
41,9940,15095.98
42,9940,15086.39
43,9940,15024.95
44,9940,15124.71
45,9940,15039.92
46,9940,14819.11
47,9940,14854.26
