Generation,BestSolution, Average in Solution
1,9677,15555.29
2,9677,15764.24
3,9677,15693.33
4,9677,15376.17
5,9677,15028.86
6,9677,15361.81
7,9677,15219.51
8,9677,15336.18
9,9677,15673.94
10,9677,16056.9
11,9677,16394.86
12,9677,16623.02
13,9677,17011.41
14,9468,17036.92
15,9468,17179.23
16,9468,16970.22
17,9468,16853.95
18,9468,16823.85
19,9468,17064.19
20,9389,16639.67
21,9389,16867.49
22,9389,17079.46
23,9389,16948.56
24,9389,16913.93
25,9389,17083.69
26,9389,16456.19
27,9389,17055.15
28,9389,16016.08
29,9389,16122.33
30,9389,15911.53
31,9389,16058.52
32,9389,15770.27
33,9389,15679.46
34,9389,15871.26
35,9389,16089.98
36,9389,16266.19
37,9389,16217.37
38,9389,15701.46
39,9389,15897.59
40,9389,15687.61
41,9389,15797.6
42,9389,15995.12
43,9389,16115.05
44,9389,15926.98
45,9389,15848.67
46,9221,15667.23
47,9221,15802.38
48,9221,16060.24
49,9221,16058.28
50,9221,16039.35
51,9221,16026.28
52,9221,15951.16
53,9221,16000.96
54,9221,15961.03
55,9221,16024.26
56,9221,15964.23
