Generation,BestSolution, Average in Solution
1,10822,15715.88
2,10822,15674.88
3,8758,15168.02
4,8758,15304.73
5,8758,14729.22
6,8758,14664.21
7,8758,14818.18
8,8758,15193.01
9,8758,15318.97
10,8758,15490.82
11,8758,15688.62
12,8758,15776.87
13,8758,15729.78
14,8758,15894.11
15,8758,15888.64
16,8758,16163.82
17,8724,16073.2
18,8724,16022.83
19,8724,15978.73
20,8724,15960.38
21,8724,15801.6
22,8719,15560.18
23,8719,15314.9
24,8719,15266
25,8719,15029.93
26,8719,15023.92
27,8719,14900.12
28,8719,14957.59
29,8455,14646.64
30,8455,14374.63
31,8455,14882.98
32,8455,14636.97
33,8455,14795.14
34,8319,14716.77
35,8319,14782.83
36,8319,14818.67
37,8319,14728.6
38,8319,14682.76
39,8319,14656.6
40,8319,14723.45
41,8156,14662.65
42,8145,14721.53
43,8100,14825.38
44,8100,14620.4
45,8050,14474.21
46,7970,14525.2
47,7970,14545.78
48,7970,14712.87
49,7970,14609.11
50,7970,14596.04
51,7970,14570.72
52,7924,14493.25
53,7924,14499.34
54,7924,14739.86
55,7924,14595.95
56,7924,14359.56
57,7924,14344.7
58,7924,14423.5
59,7924,14439.89
60,7924,14058.88
61,7924,14221.45
62,7924,14257.54
63,7924,14431.06
64,7924,14515.77
65,7924,14389.08
66,7924,14408.83
67,7924,14244.66
68,7924,14293.19
69,7924,14239.13
70,7924,14267.06
71,7924,14240.28
72,7924,14179.35
73,7924,14425.56
74,7924,14434.78
75,7924,14439.72
76,7924,14455.03
77,7924,14352.86
78,7924,14378.81
79,7924,14433.54
80,7912,14304.49
81,7912,14350.33
82,7912,14233.66
83,7912,13842.46
84,7912,13610.16
85,7912,13926.01
86,7912,14245.96
87,7912,14041.19
88,7912,14356.03
89,7912,14637.13
90,7912,14648.67
91,7912,14597.27
92,7912,14596.31
93,7912,14167.46
94,7912,14574.33
95,7912,14808.79
96,7912,14831.21
97,7912,14807.46
98,7912,14588.96
99,7912,14837.13
100,7912,14764.26
101,7912,14773.12
102,7912,14711.58
103,7912,14664.17
104,7912,14681.96
105,7912,14735.34
106,7912,14796.56
107,7912,14845.81
108,7912,14860.17
109,7912,14704.61
110,7912,14533.58
111,7912,14773.3
112,7912,14795.66
113,7912,14706.67
114,7912,14912.23
115,7912,15010.86
116,7912,14870.62
117,7912,14997.99
118,7912,14972.67
119,7912,14438.83
120,7912,14395.94
121,7912,13631.03
