Generation,BestSolution, Average in Solution
1,10225,15844.47
2,10225,15856.64
3,10225,15306.65
4,10225,15544.86
5,10225,15421.76
6,10183,15458.61
7,10112,15607.85
8,10112,15778.51
9,10112,16104.23
10,10112,16168.9
11,10112,16135.77
12,10112,16196.3
13,10112,16124.2
14,10112,16048.33
15,10112,16313.38
16,10112,16115.06
17,10112,16131.55
18,10112,15905.34
19,10112,15862.36
20,10112,15910
21,10112,15885.63
22,8760,15865.05
23,8760,15986.94
24,8760,15654.48
25,8760,15561.54
26,8760,15302.97
27,8760,15223.56
28,8760,15284.97
29,8760,15069.83
30,8760,14774.27
31,8760,14733.46
32,8760,14803.71
33,8760,14936.77
34,8760,14877.83
35,8760,14711.28
36,8760,14754.82
37,8760,14785.5
38,8760,14823.67
39,8760,14852.62
40,8760,14724.69
41,8760,14785.77
42,8760,14571.34
43,8335,14497.97
44,8335,14499.25
45,8335,14629.03
46,8335,14613.08
47,8335,14515.31
48,8335,14633.53
49,8335,14595.98
50,8335,14602.06
51,8335,14672.69
52,8335,14626
53,8335,14538.31
54,8335,14608.42
55,8335,14487.92
56,8335,14541.1
57,8335,14603.59
58,8335,14543.63
59,8335,14649.3
60,8335,14568.3
61,8335,14655.3
62,8335,14574.33
63,8335,14610.44
64,8335,14484.82
65,8231,14303.1
66,7889,14159.45
67,7889,14366.65
68,7889,14369.26
69,7723,14377.75
70,7723,14615.21
71,7723,14847.49
72,7723,14587.01
73,7723,14546.6
74,7723,14540.96
75,7683,14505.39
76,7683,14588.52
77,7683,14562.67
78,7683,14771.96
79,7683,14668.27
80,7683,14681.12
81,7683,14680.85
82,7683,14694.17
83,7683,14609.88
84,7683,14617.35
85,7683,14631.07
86,7683,14741.15
87,7683,14327.9
88,7683,14613.93
89,7683,14576.47
90,7683,14733.95
91,7683,14668.22
92,7683,14810.47
93,7683,14689.01
94,7683,14770.84
95,7683,14831.19
96,7683,14712.15
97,7683,14488.46
98,7683,14682.97
99,7683,14910.63
100,7683,14677.03
101,7683,14991.22
102,7678,14647.85
103,7678,14576.65
104,7678,14724.76
105,7678,14724.3
106,7678,14811.17
