Generation,BestSolution, Average in Solution
1,10897,15676.37
2,9182,15392.29
3,9182,15097.52
4,9182,14912.01
5,9182,14511.78
6,9182,15076.44
7,9182,15093.15
8,9182,15127.74
9,9182,15322.89
10,9182,15322.92
11,9182,15406.37
12,9182,15650.75
13,9182,15620.83
14,9182,15793.88
15,9182,15537.17
16,9182,15453.11
17,9182,15645.48
18,9182,15787.34
19,9070,15575.81
20,8952,15283.02
21,8952,15505.05
22,8952,15411.35
23,8952,15355.82
24,8952,15524.51
25,8952,15494.83
26,8952,15422.58
27,8952,15258.06
28,8952,15192.05
29,8952,15393.3
30,8952,15584.93
31,8952,15539.3
32,8952,15637.81
33,8952,15484.52
