Generation,BestSolution, Average in Solution
1,10191,15477.17
2,10191,15415.52
3,10191,15417.66
4,10191,15425.32
5,10191,15378.37
6,10191,15659.8
7,10191,15850.12
8,10191,16493.62
9,10191,16541.23
10,10191,16344.35
11,10191,16492.11
12,10191,17033.78
13,10191,16446.01
14,10191,16969.53
15,9302,16907.68
16,9302,17212.19
17,9302,17338.72
18,9270,17007.53
19,9270,16870.78
20,8858,16996.59
21,8858,16406.13
22,8731,16463.3
23,8731,16138.23
24,8731,16246.45
25,8731,16254.88
26,8731,16169.11
27,8731,16384.68
28,8731,16221.78
29,8731,16437.2
30,8731,16260.82
31,8731,16349.08
32,8731,16279.8
33,8731,16395.76
34,8731,16330.01
35,8731,16303.64
36,8731,16405.43
37,8731,16511.98
38,8731,16387.59
39,8731,16381.96
40,8731,16328.97
41,8731,16227.68
42,8731,16234.4
43,8731,16263.16
44,8731,16448.58
45,8731,16197.63
46,8731,16147.55
47,8703,16158.14
48,8703,16150.01
49,8703,15914.08
50,8703,16092.54
