Generation,BestSolution, Average in Solution
1,9148,15662.72
2,9148,15713.11
3,9148,15181.94
4,9148,15127.51
5,9148,15335.02
6,9148,14841.51
7,9148,14791.53
8,9148,15281.95
9,9148,15424.06
10,9148,15572.61
11,9148,15800.83
12,9148,16154.07
13,9148,16085.37
14,9148,16298.08
15,9148,16399.72
16,9148,16193.93
17,9148,16228.52
18,9148,16140.08
19,9148,15932.14
20,9148,15953.42
21,9148,15708.65
22,9148,15974.91
23,9148,16309.83
24,9148,16066.78
25,9148,16292.46
26,9148,16320.63
27,9148,16049.53
28,9148,16099.13
29,9148,16270.14
30,8818,15812.59
31,8818,15814.82
32,8818,15911.24
33,8818,15631.08
34,8818,15497.77
35,8818,15512.01
36,8818,15490.04
37,8818,15660.08
38,8818,15622.66
39,8818,15910.84
40,8818,15553.45
41,8818,15538.54
42,8818,15633.32
43,8818,15573.01
44,8818,15745.45
45,8818,15605.94
46,8818,15565.37
47,8818,15517.16
48,8818,15591.57
49,8818,15874.12
50,8818,15725.57
51,8818,15734.4
52,8818,15685.14
53,8818,15533.02
54,8818,15700.88
55,8818,15809.36
