Generation,BestSolution, Average in Solution
1,222607.43,251161.65
2,208970.85,249718.28
3,208970.85,247702.07
4,208970.85,245304.94
5,208970.85,241803.6
6,208970.85,240852.56
7,208970.85,239578.66
8,208970.85,239875.47
9,208970.85,241571.25
10,208970.85,241202.71
11,208970.85,242287.77
12,208970.85,243001.86
13,208970.85,242288.91
14,208970.85,243728.81
15,208189.73,242395.01
16,208189.73,241278.36
17,208189.73,241070.15
18,208189.73,240767.26
19,208189.73,240955.09
20,208189.73,239384.66
21,208189.73,239173.68
22,208189.73,239290.04
23,208189.73,239344.86
24,208189.73,239442.94
25,204727.29,239150.39
26,204727.29,240663.49
27,203980.99,239070.74
28,201971.99,239491.13
29,201971.99,240990.23
30,201971.99,242578.82
31,201386.88,240243.52
32,201386.88,239901.4
33,201386.88,239637.71
34,201386.88,239692.11
35,201386.88,238548.86
36,201386.88,238731.25
37,201386.88,238704.49
38,201386.88,238686.4
39,201386.88,238358.17
40,201386.88,239000.4
41,201386.88,239652.01
42,201386.88,239671.95
43,201386.88,239048.62
44,201386.88,238957.27
45,199646.01,238961.51
46,199646.01,239280.57
47,199646.01,239819.59
48,199646.01,240163.82
49,199646.01,238773.69
50,199646.01,240086.91
51,199646.01,238762.59
52,198666.55,238775.63
53,198666.55,238755.85
54,197178.46,237776.79
55,197178.46,240820.46
