Generation,BestSolution, Average in Solution
1,10611,15851.31
2,10611,15666.83
3,9464,15479.07
4,9464,15514.47
5,9464,15084.92
6,9464,15082.5
7,9464,15329.52
8,9464,15447.23
9,9464,15575.29
10,9464,15957.67
11,9464,15948.03
12,9464,15991.63
13,9464,16176.9
14,9464,16409.6
15,9464,16609.29
16,9464,16700.21
17,9464,16933.16
18,9464,17008.79
19,9464,17085.98
20,8950,17086.47
21,8950,17193.18
22,8853,16991.41
23,8853,16897.5
24,8853,16882.66
25,8853,16593.15
26,8853,16646.81
27,8853,16569.52
28,8853,16321.59
29,8853,16146.93
30,8853,16292.57
31,8853,16087.96
32,8853,16001.33
33,8853,15545.21
34,8853,15541.5
35,8853,14950.79
36,8853,14437.14
37,8853,14306.79
38,8853,14260.32
39,8853,14252.42
40,8853,14129.02
41,8853,14241.87
42,8853,14144.19
43,8853,14082.76
44,8853,13965.26
45,8853,14025.24
46,8853,14171.85
47,8853,14171.35
48,8853,14107.03
49,8853,14180.58
50,8853,14111.24
51,8853,14151.73
52,8853,14206.45
53,8853,14242.75
54,8853,14261.71
55,8853,14171.77
56,8853,14133.89
57,8853,14146.75
58,8853,14185.96
59,8853,14234.11
60,8853,14281.02
61,8853,14276.11
62,8853,14283.37
63,8853,14134.87
