Generation,BestSolution, Average in Solution
1,10555,15666.03
2,10555,15265.15
3,10555,15441.71
4,10555,15488.21
5,10555,15243.04
6,9965,15510.69
7,9500,15571.49
8,9500,15373.46
9,9500,15661.67
10,9500,15899.86
11,9500,16566.63
12,9500,16600.8
13,9500,16620.51
14,9500,16801.92
15,9500,16758.8
16,9074,17047.21
17,9074,17317.98
18,9074,17032.62
19,9074,17191.27
20,9074,17026.23
21,9074,16803.6
22,9066,16809.67
23,9066,16762.11
24,9066,16908.06
25,9066,16784.04
26,9066,16375.77
27,9066,16445.16
28,9066,16506.55
29,9066,16583.25
30,9025,16569.51
31,9025,16361.32
32,9025,16258.84
