Generation,BestSolution, Average in Solution
1,8888,15457.77
2,8888,15640.48
3,8888,15821.7
4,8888,15311.22
5,8888,14883.42
6,8888,14724.59
7,8888,14779.81
8,8888,14677.43
9,8888,14906.71
10,8888,15409.68
11,8888,15622.5
12,8888,15766.4
13,8888,16142.54
14,8888,16397.55
15,8667,16429.61
16,8667,16843.6
17,8654,16490.37
18,8469,16551.16
19,8469,16479.87
20,8469,16276.25
21,8469,16569.69
22,8469,16572.55
23,8469,16269.38
24,8469,16255.15
25,8469,15642.68
26,8455,15435.94
27,8455,15350.44
