Generation,BestSolution, Average in Solution
1,9925,15483.66
2,9925,15349.68
3,9925,15450.41
4,9925,14961.63
5,9925,14742.82
6,9925,14890.62
7,9925,14665.97
8,9925,15513.27
9,9925,15767.68
10,9925,15699.59
11,9925,16066.92
12,9925,15765.34
13,9925,16032.18
14,9925,15872.07
15,9925,15785.58
16,9925,15986.86
17,9925,15919.68
18,9925,16175.61
19,9925,15982.7
20,9925,15933.12
21,9925,15709.36
22,9925,15920.37
23,9925,15612.24
24,9925,15667.97
25,9925,15679.92
26,9925,15772.64
27,9925,15675.63
28,9925,15889.09
29,9925,15659.61
30,9925,15734.6
31,9925,15789.16
32,9925,15576.57
33,9925,15568.21
34,8662,15230.97
35,8662,15355.49
36,8662,15388.77
37,8662,15019.31
38,8662,14971.96
39,8662,15288.03
40,8662,15363.73
41,8662,15223.68
42,8662,14511.67
43,8662,14729.6
44,8662,13951.98
45,8662,13449.8
46,8662,13540.16
47,8662,13393.01
48,8662,13297.4
49,8650,13059.67
50,8650,13119.24
51,8650,13193.59
52,8650,13146.9
53,8650,13251.2
54,8650,13130.82
55,8650,13160.34
56,8650,13083.91
57,8650,13144.94
58,8650,13203.33
59,8650,13197.62
60,8650,13130.73
61,8650,13197.34
