Generation,BestSolution, Average in Solution
1,10078,15649.57
2,9836,15664.18
3,9836,15396.08
4,9836,14811.33
5,9836,15034.54
6,9836,14872.45
7,9836,15037.54
8,9836,14851.11
9,9836,15154.62
10,9836,15281.85
11,9836,15474.86
12,9836,15630
13,9836,15490.94
14,9836,15985.3
15,9836,16011.16
16,9836,16093.63
17,9836,16247.04
18,9836,16341.12
19,9579,16382.5
20,9579,16386.18
21,9579,16559.26
22,9509,16563.64
23,9509,16407.7
24,9509,16300.79
25,9509,16345.89
26,9509,16469.56
27,9509,16288.8
28,9509,16434.38
29,9509,16261.29
30,9509,16548.49
31,9509,16661.08
32,9509,16513.19
33,9509,16550.79
34,9509,16436.83
35,9509,16272.92
36,9509,16247.96
37,9478,16172.23
38,9439,15936.31
39,9439,16172.05
40,9439,16407.49
41,9439,16362.03
42,9439,16069.42
43,9433,16122.63
44,9433,15902.69
45,9433,16124.85
46,9433,16397.65
47,9433,16204.99
48,9433,16065.08
49,9433,16198.12
50,9433,16087.7
51,9433,16014.72
52,9433,15845.56
53,9433,16072.21
