Generation,BestSolution, Average in Solution
1,8793,15515.95
2,8793,15881.72
3,8793,15424.55
4,8793,15228.18
5,8793,15210.28
6,8793,14840.07
7,8793,15034.85
8,8793,15417.56
9,8793,15550.7
10,8793,15430.78
11,8793,15716.02
12,8793,15840.13
13,8793,16164.56
14,8793,16435.12
15,8782,16575.24
16,8710,16662.13
17,8710,16535.67
18,8710,16464.34
19,8710,16309.29
20,8710,16349.75
21,8710,16248.62
22,8710,16301.53
23,8710,15802.06
24,8710,15021.73
25,8710,14826.92
26,8710,14841.63
27,8710,14856.69
28,8710,15079.34
29,8710,14914.46
30,8710,14796.02
31,8710,14660.15
32,8710,14812.3
33,8710,14812.23
34,8710,14686.21
35,8710,15107.54
36,8710,14753.59
37,8710,14700.52
38,8710,14911.06
39,8710,14688.5
40,8710,14760.67
41,8710,14647.93
42,8710,14826.58
43,8710,14934.89
44,8710,14785.97
45,8710,14675.49
46,8710,14745.23
47,8710,14706.32
48,8710,15049.74
49,8710,14991.64
50,8710,14805.82
51,8710,14750.29
52,8710,14728.43
53,8710,14885.01
54,8710,14678.04
55,8710,14625.24
56,8710,14692.67
57,8710,14771.17
58,8710,14869.74
59,8710,14715.06
60,8710,14724.67
61,8710,14674.31
62,8710,14749.09
63,8710,14573.11
64,8710,14583.7
65,8710,14678.98
66,8710,14586.6
67,8710,14606.54
68,8710,14720.04
69,8710,14657.14
70,8710,14773.54
71,8710,14812.45
72,8710,14858.82
73,8710,14933.66
74,8710,15043.88
75,8710,14689.46
76,8710,14729.68
77,8710,14650.86
78,8710,14660.12
79,8710,14839.25
80,8710,14649.03
81,8710,14604.96
82,8710,14551.27
83,8710,14740.17
84,8710,14773.6
85,8710,14760.02
86,8710,14613.28
87,8710,14699.65
88,8710,14601.61
89,8710,14703.62
90,8710,14673.93
91,8710,14762.51
92,8710,14709.81
93,8710,14708.66
94,8710,14721.2
95,8710,14714.64
96,8710,14657.88
97,8710,14669.96
98,8710,14658.61
99,8710,14852.51
100,8710,14863.92
101,8710,14926.83
102,8710,14896.06
103,8710,14912.85
104,8710,14978.61
105,8710,14668.07
106,8710,14879.82
107,8710,14609.33
108,8710,14604.98
109,8710,14950.49
110,8710,14874.65
111,8710,14691.28
112,8710,15055.22
113,8710,15086.69
114,8710,14992.51
115,8710,14789.86
116,8710,14779.61
117,8710,14910.33
118,8710,14917.92
119,8710,14679.78
120,8710,14879.2
121,8710,14740.94
122,8710,14871.49
123,8710,14753.24
124,8710,14665.08
125,8710,14760.25
126,8710,14831.06
127,8710,14926.53
128,8710,14817.86
129,8710,14790.78
130,8710,14580.1
131,8710,14749.65
132,8710,14827.22
133,8710,14724.62
134,8710,14808.12
135,8710,14651.21
136,8710,14665.7
137,8710,14639.34
138,8710,14690.65
139,8710,14773.4
140,8710,14794.44
141,8710,14898.32
142,8710,14486.18
143,8710,14780.31
144,8710,14631.14
145,8710,14906.13
146,8710,14772.55
147,8710,14745.71
148,8710,14959.51
149,8710,14740.78
150,8710,14816.67
151,8710,14637.4
152,8710,14569.65
153,8710,14637.98
154,8710,14832.28
155,8710,14752.9
156,8710,14633.83
157,8710,14691.01
158,8710,14655.6
159,8710,14629.62
160,8710,14691.66
161,8710,14510.26
162,8710,14776.7
163,8710,14994.89
164,8710,14700.18
165,8710,14748.19
166,8710,14497.72
167,8710,14791.85
168,8710,14686.1
169,8710,14884.27
170,8710,14863.88
171,8710,14539.68
172,8710,14945.9
173,8575,14641.46
174,8575,14689.24
175,8575,14741.54
176,8575,14981.61
177,8575,14893.28
178,8575,14931.11
179,8575,14662.56
180,8575,14635.58
181,8575,14714.09
182,8575,14908.27
183,8575,14790.81
184,8575,14923.4
185,8575,14952.59
186,8575,14582.59
187,8575,14704.95
188,8575,14572.48
189,8575,14644.7
190,8575,14580.53
191,8575,14589.34
192,8575,14714.75
193,8575,14560.62
194,8575,14690.2
195,8575,14868.61
196,8575,14684.06
197,8575,15020.89
198,8575,14769.51
199,8575,15002.68
200,8575,14812.13
201,8575,14733
202,8575,14698.64
203,8575,14691.47
204,8575,14722.07
205,8575,14897.28
206,8575,14803.11
207,8575,14918.54
208,8575,14852.88
209,8575,14858.83
210,8575,14548.42
211,8575,14758.61
212,8575,14856.74
213,8575,14695.31
214,8575,14765.04
215,8575,14776.06
216,8575,14832.76
217,8575,14881.89
218,8575,14697.16
219,8575,14846.76
220,8565,14561.21
221,8565,14697.38
222,8565,14892.7
223,8565,14783.86
224,8565,14849.78
225,8565,14806.06
226,8565,14681.48
227,8565,14820.05
228,8565,14530.53
229,8565,14773.2
230,8565,14746.17
231,8565,14754.16
232,8565,14765.98
233,8565,14999.42
234,8565,14637.24
235,8565,14574.91
236,8565,14774.93
237,8565,14661.54
238,8565,14670.17
239,8565,14680.42
240,8565,14959.13
241,8565,14855.99
242,8565,14913.99
243,8565,14835.23
244,8565,14797.48
245,8565,14854.2
246,8565,14677.85
247,8565,14526.72
248,8565,14795.16
249,8565,14633.19
250,8565,14834.84
251,8565,14883.42
252,8565,14666.68
253,8565,14638.02
254,8565,14588.95
255,8565,14746.94
256,8565,14773.01
257,8565,14734.65
258,8565,14774.55
259,8565,14580.98
260,8565,14799.66
261,8565,14685.55
262,8565,14765.67
263,8565,14764.98
264,8565,14892.71
265,8565,14617.02
266,8565,14514.34
267,8565,14583.3
268,8565,14867.8
269,8565,14694.8
270,8565,14910.16
271,8565,14811.91
272,8565,14704.88
273,8565,14819.96
274,8565,14717.68
275,8565,14526.88
276,8565,14525.68
277,8565,14518.39
278,8565,14471.23
279,8565,14478.15
280,8565,14383.49
281,8565,14404.51
282,8565,14083.14
