Generation,BestSolution, Average in Solution
1,10075,15454.88
2,10075,15339.49
3,10075,15242.1
4,10075,14856.65
5,10075,14369.7
6,10075,14337.11
7,9987,14159.14
8,9987,14294.02
9,9987,14386.16
10,9421,14629.26
11,9421,14868.03
12,9421,14918.07
13,9421,15519.31
14,9421,15533.47
15,9421,15694.24
16,9421,15702.75
17,9421,15933.94
18,9421,15802.34
19,9377,15885.65
20,9377,15903.07
21,9377,15860.87
22,9377,15992.31
23,9377,15716.2
24,9377,15776.74
25,9377,15883.48
26,9377,15923.87
27,9377,15981.42
28,9334,15882.25
29,9334,16020.34
30,9334,15994.67
31,9334,15985.86
32,9334,16038.27
33,9334,16022.92
34,9334,16068.66
35,9334,16105.39
36,9334,16244.99
37,9334,15977.15
38,9334,15991.01
39,9334,16124.36
40,9334,16049.26
41,9334,16077.71
42,9305,16113.67
43,9305,16048.08
44,9305,16093.26
45,9305,16159.13
46,9305,16191.37
47,9305,16251.5
48,9305,16232.18
49,9305,16303.73
50,9305,16274.33
51,9305,16207.68
52,9305,16223.69
53,9305,16386.08
54,9305,16229.8
55,9305,16282.7
56,9305,16307.61
57,9305,16103.03
58,9305,16251.35
59,9305,16264.81
60,9305,16417.72
61,9305,16268.63
62,9305,16109.54
63,9305,16129.26
64,9305,16053.41
65,9305,16116.31
66,9305,16292.65
67,9305,16115.79
68,9305,16412.26
69,9305,16397.82
70,9305,16257.61
71,9305,16222.92
72,9305,16213.29
73,9305,16300.58
74,9305,16076.54
75,9305,16045.13
76,9305,16096.14
77,9305,16091.74
78,9305,16219
79,9305,16171.34
80,9305,16278.08
81,9305,16265.59
82,9305,16264.98
83,9305,16243.78
84,9305,16248.35
85,9305,16251.26
86,9305,16279.74
87,9305,16287.58
88,9305,16399.89
89,9305,16347.1
90,9305,16109.22
91,9305,15993.33
92,9305,16443.92
93,9305,16141.83
94,9305,16468.55
95,9305,16343.63
96,9305,16520.19
97,9305,16360.09
98,9305,16265.41
