Generation,BestSolution, Average in Solution
1,10297,15290.13
2,10297,15361.18
3,10297,15565.41
4,10297,15384.42
5,10297,14968.68
6,10297,15276.69
7,10297,15072.34
8,10297,15277.01
9,10297,15494.9
10,10297,15572.86
11,10297,16333.05
12,10297,16496.8
13,10297,16835.83
14,10297,16565.87
15,10297,16439.7
16,10297,16460.33
17,10297,16604.44
18,10297,16392.84
19,10297,16322.91
20,10297,16078.67
21,10297,15807.29
22,8690,15354.91
23,8690,15019.87
24,8690,14543.96
25,8539,13953.29
26,8539,13741.87
