Generation,BestSolution, Average in Solution
1,9922,15883.1
2,9922,14930.15
3,9922,14961.86
4,9922,14969.09
5,9922,14918.82
6,9922,15064.83
7,9922,14979.43
8,9922,15470.83
9,9922,15487.29
10,9922,15513.48
11,9922,15847.22
12,8987,15897.52
13,8987,15987.95
14,8987,15945.14
15,8987,16285.9
16,8987,16152.88
17,8987,16111.32
18,8987,16141.62
19,8987,16067.51
20,8987,15861.32
21,8987,15997.14
22,8987,15816.11
23,8987,16250.56
24,8987,15999.35
25,8987,15887.37
26,8987,15959.75
27,8987,16046.2
28,8987,16187.65
29,8987,16131.59
30,8987,16168.27
31,8987,16240.44
32,8987,16263.92
33,8987,16193.7
34,8987,16446.31
35,8912,16515.81
36,8912,16394.15
37,8912,16421.43
38,8912,16338.75
39,8912,16571.62
40,8912,16642.91
41,8912,16787.55
42,8912,16891.97
43,8912,16842
44,8912,16553.3
45,8912,16530.67
46,8912,16725.55
47,8912,16739.84
48,8912,16558.95
49,8912,16587.69
50,8912,16762.53
51,8912,16730.85
52,8912,16945.8
53,8912,16884.7
54,8912,16649.68
55,8912,17100.33
56,8912,16973.72
57,8912,16806.02
58,8912,16941.73
59,8912,16679.26
60,8912,16823.57
61,8912,16709.98
62,8912,16975.74
63,8912,17103.47
64,8912,17186.34
65,8912,17235.08
66,8803,17007.53
67,8803,16976.37
68,8803,17046.69
69,8803,16951.84
70,8803,16821.77
71,8803,16968.67
72,8803,17310.16
73,8803,16921.41
74,8803,17174.3
75,8803,17365.36
76,8803,17452.18
77,8803,17261.57
78,8803,17170.74
79,8803,17049.66
80,8803,17100.45
81,8803,17051.53
82,8803,17212.59
83,8803,16961.69
84,8803,17224.07
85,8803,17213.89
86,8803,17383.27
87,8803,17417.98
88,8803,17363.88
89,8803,17526.61
90,8803,17329.32
91,8803,17707.78
92,8803,17794.29
93,8803,17844.82
94,8803,17145.63
95,8803,17003.95
96,8803,17494.11
97,8803,17364.34
98,8803,17761.53
99,8803,17536.97
100,8803,17701.29
101,8803,17981.2
102,8803,17345.61
103,8803,17039.91
104,8803,17509.28
105,8803,17058.32
106,8802,16977.3
107,8802,17543.98
108,8802,16843.83
109,8660,16942.97
110,8652,17306.58
111,8652,16400.05
112,8652,16122.72
113,8652,15944.54
114,8652,16099.67
115,8652,16311.67
116,8652,16184.88
117,8652,16530.02
118,8652,16234.6
119,8652,16326.38
120,8652,16143.02
121,8652,16264.43
122,8652,16022.74
123,8652,15785.68
124,8652,15995.77
125,8652,16172.2
126,8652,15821.72
127,8652,15801.14
128,8652,15911.15
129,8652,16024.93
130,8652,16188.69
131,8652,16553.63
132,8652,16348.04
133,8652,16044.45
134,8652,15945.33
135,8652,15981.67
136,8652,15925.97
137,8652,15836.53
138,8652,16000.29
139,8652,16018.47
140,8652,15968.88
141,8652,15872.88
142,8652,16094.65
143,8652,16149.19
144,8652,15835.73
145,8652,16057.43
146,8652,15967.09
147,8652,15957.51
148,8652,15779.45
149,8652,15691.26
150,8652,15872.77
151,8652,16178.31
152,8652,15947.72
153,8652,15865.68
154,8652,16194.26
155,8652,16068.89
156,8652,16192.42
157,8652,16183.75
158,8652,16363.62
159,8652,16162.98
160,8652,16191.61
161,8652,16128.19
162,8652,15939.94
163,8652,15947.19
164,8652,15877.46
165,8652,15792.3
