Generation,BestSolution, Average in Solution
1,10157,15632.62
2,10157,15682.92
3,10157,15700.13
4,10157,15211.94
5,10157,15716.43
6,10157,15575.71
7,10157,15704.65
8,10075,16006.6
9,10075,16336.76
10,10075,16897.46
11,9786,16609.63
12,9786,16987.31
13,9786,17148.72
14,9786,17226.99
15,9786,17594.91
16,9786,17534.21
17,9786,17640.96
18,9786,17184.99
19,9786,17377.02
20,9786,17266.57
21,9786,16997.78
22,9786,16910.54
23,9786,16812.79
24,9786,16766.04
25,9786,16570.46
26,9786,16670.81
27,9786,16891.32
28,9786,16659.19
29,9786,16764.8
30,9786,16754.22
31,9786,16696.35
32,9786,16533.81
33,9786,16631.26
34,9786,16650.68
35,9786,16884.04
36,9786,16453.52
37,9786,16436.43
38,9786,16417.12
39,9786,16298.18
40,9786,16313.29
41,9786,16379.96
42,9786,16280.91
43,9786,16149.36
44,9786,16124.22
45,9786,16276.04
46,9786,16247.66
47,9786,16373.58
48,9786,16284.34
49,9786,16528.79
50,9786,16389.93
51,9786,16464.54
52,9786,16471.78
53,9786,16561.9
54,9786,16466.3
55,9786,16548.51
56,9786,16777.76
57,9786,16671
58,9786,16661.99
59,9786,16523.29
60,9786,16738.53
61,9786,16384.02
62,9786,16369.05
63,9786,16743.38
64,9786,16613.7
65,9786,16442.47
66,9786,16517.02
67,9786,16377.06
68,9786,16427.79
69,9786,16361.65
70,9786,16585.38
71,9786,16739.89
72,9786,16829.15
73,9786,16839.25
74,9786,16698.14
75,9786,16699.18
76,9786,16633.42
77,9786,16591.54
78,9786,16705.58
79,9786,16786.08
80,9786,16946.54
81,9786,17120.68
82,9786,16753.88
83,9786,17482.38
84,9689,16933.76
85,9689,16940.63
86,9689,16875.78
87,9689,16778.44
88,9689,16863.15
89,9689,16422.05
90,9689,16925.39
91,9689,16697.37
92,9689,16799.08
93,9689,16761.63
94,9689,16786.67
95,9689,17020
96,9689,17062.16
97,9689,16900.01
98,9689,16826.25
99,9689,16829.61
100,9689,16550.92
101,9689,16659.24
102,9689,16849.98
103,9689,16603.59
104,9689,16854.64
105,9689,16507.13
106,9689,16791.4
107,9689,16699.73
108,9689,16783.19
109,9689,16598.01
110,9689,17031.75
111,9689,16675.48
112,9689,16610.16
113,9689,16329.19
114,9689,16545.19
115,9689,16299.89
116,9689,16612.14
117,9689,16483.21
118,9689,16378.71
119,9689,16602.11
120,9689,16575.89
121,9689,16492.15
122,9689,16750.83
123,9689,16608.74
124,9689,16693.35
125,9689,16694.57
126,9689,16555.67
127,9689,16581.46
128,9689,16541.03
129,9689,16724.34
130,9689,16752.72
131,9689,16725.94
132,9689,16632.84
133,9689,16484.99
134,9689,16709.04
135,9689,16586.91
136,9689,16606.32
137,9689,16506.88
138,9689,16946.59
139,9689,16925.71
140,9689,16875.8
141,9689,17164.54
142,9689,16960.29
143,9689,16940.88
144,9689,16834.15
145,9689,16546.32
146,9689,16491.47
147,9689,16786.59
148,9689,16662.61
149,9689,16869.32
150,9689,16826.37
151,9689,16862.58
152,9689,16664.15
153,9689,16560.37
154,9689,16572.84
155,9689,16341.96
156,9689,16571.29
157,9689,16960.79
158,9689,17117.9
159,9689,16820.98
160,9689,16903.19
161,9689,16805
162,9689,16875.35
163,9689,16871.13
164,9689,16714.29
165,9689,16680.77
166,9689,16330.69
167,9689,16878.7
168,9689,16567.82
169,9689,16596.53
170,9689,16515.92
171,9689,16438.5
172,9689,16607.73
173,9689,16475.23
174,9689,16637.2
175,9689,16703.31
176,9689,16762.53
177,9689,17232.93
178,9689,16719.16
179,9689,16569.71
180,9689,16649.75
181,9689,16989.04
182,9689,16771.63
183,9689,16600.84
184,9689,16548.86
185,9689,16721.66
186,9689,16684.25
187,9689,16591.98
188,9689,16589.8
189,9689,16450.61
190,9689,16504.01
191,9689,16288.41
192,9689,16752.38
193,9689,16665.19
194,9689,16717.53
195,9689,16473.99
196,9689,16426.79
197,9689,16567.05
198,9689,16634.34
199,9689,16373.17
200,9689,16314.62
201,9689,16636.54
202,9689,16773.38
203,9689,16983.69
204,9689,16579.88
205,9689,16648.01
206,9689,16920.89
207,9689,16660.11
208,9689,16682.42
209,9689,16617.21
210,9689,16634.48
211,9689,16598.02
212,9689,16453.1
213,9689,16396.38
214,9689,16334.62
215,9689,16674.9
216,9689,16917.82
217,9689,16807.12
218,9689,16643.47
219,9689,16841.21
220,9689,16932.8
221,9689,16905.94
