Generation,BestSolution, Average in Solution
1,9711,15860.49
2,9711,15429.69
3,9711,15572.8
4,9711,15439.52
5,9711,15683.66
6,9711,15939.37
7,9711,16242.9
8,9711,16296.67
9,9711,15927.71
10,9711,15981.92
11,9711,16609.38
12,9711,16877.34
13,9711,17138.09
14,9711,17085.7
15,9711,16973.87
16,9711,17240.35
17,9711,17527.32
18,9711,17342.57
19,9711,17340.61
20,9711,17375.92
21,9538,16899.03
22,9538,17271.62
23,9538,17412.57
24,9538,17353.6
25,9021,16936.68
26,9021,16855.88
27,9021,16527.13
28,9021,16517.23
29,9021,16427.85
30,9021,16385.98
31,9021,16329.83
32,9021,16103.74
33,9021,15768.47
34,9021,15327.89
35,9021,15509.48
36,9021,15463.9
37,9021,15538.87
38,9021,15513.4
39,9021,15432.64
40,9021,15700.73
41,9021,15892.59
42,9021,15817
43,9021,15680.22
44,9021,15490.52
45,9021,15468.08
46,9021,15468.97
47,9021,15340.25
48,9021,15264.36
49,9021,15373.86
50,9021,15427.49
51,9021,15511.66
52,9021,15531.67
53,9021,15211.51
54,9021,15409.8
55,9021,15617.94
56,9021,15539.91
57,9021,15444.9
58,9021,15355.15
59,9021,15394.89
60,9021,15408.63
61,9021,15451.33
62,9021,15469.4
63,9021,15576.97
64,9021,15458.86
65,9021,15932.72
66,9021,16101.2
67,9021,15925
68,9021,15386.86
69,9021,15692.65
70,9021,15954.4
71,9021,15746.3
72,9021,15263.32
73,9021,15218.37
74,9021,15166.9
75,9021,15418.86
76,9021,15390.03
77,9021,15312.25
78,9021,15293.36
79,9021,15285.31
80,9021,14987.78
81,9021,15334.12
82,9021,15511.22
83,9021,15436.62
84,9021,15388.1
85,9021,15408.26
86,9021,15893.54
87,9021,15652.77
88,9021,15555.01
89,9021,15500.27
90,9021,15480.98
91,9021,15329.37
92,9021,15329.7
93,9021,15231.92
94,9021,15481.44
95,9021,15258.91
96,9021,15216.01
97,9021,15565.12
98,9021,15341.17
99,9021,15421.76
100,9021,15453.65
101,9021,15353.74
102,9021,15393.48
103,9021,15275.87
104,9021,15189.13
105,9021,15228.45
106,9021,15269.33
107,9021,15641.1
108,9021,15644.08
109,9021,15496.88
110,9021,15528.12
111,9021,15594.24
112,9021,15557.22
113,9021,15193.02
114,9021,15435.03
115,9021,15519.87
116,9021,15291.41
117,9021,15413.88
118,9021,15498.43
119,9021,15360.69
120,9021,15139.27
121,9021,15256.96
122,9021,15305.82
123,9021,15480.41
124,9021,15581.62
125,9021,15590.06
126,9021,15579.95
127,9021,15617.36
128,9021,15740.19
129,9021,15597.28
130,9021,15376.36
131,9021,15423.43
132,9021,15443.71
133,9021,15220.11
134,9021,15464.29
135,9021,15366.46
136,9021,15279.47
137,9021,15639.35
138,9021,15536.78
139,9021,15506.92
140,9021,15382.35
141,9021,15263.64
142,9021,15700.85
143,9021,15404.34
144,9021,15280.95
145,9021,15358.01
146,9021,15433.06
147,9021,15341.29
148,9021,15609.62
149,9021,15394.25
150,9021,15314.43
151,9021,15426.07
152,9021,15471.47
153,9021,15518.35
154,9021,15376.09
155,9021,15480.38
156,9021,15509.2
157,9021,15811.04
158,9021,15534.6
159,9021,15681.96
160,9021,15553.1
161,9021,15351.93
162,9021,15461.88
163,9021,15353.71
164,9021,15646.46
165,9021,15459.59
166,9021,15701.03
167,9021,15667.6
168,9021,15874.92
169,9021,15416.75
170,9021,15484.44
171,9021,15464.83
172,9021,15253.28
173,9021,15082.66
174,9021,15159.96
175,9021,15590.33
176,9021,15365.69
177,9021,15837.31
178,9021,15488.76
179,9021,15412.72
180,9021,15502.28
181,9021,15535.95
182,9021,15605.83
183,9021,15420.9
184,9021,15307.52
185,9021,15168.39
186,9021,15146.58
187,9021,15422.95
188,9021,15451.97
189,9021,15346.94
190,9021,15327.1
191,9021,15547.01
192,9021,15631.57
193,9021,15623.84
194,9021,15809.89
195,9021,15429.43
196,9021,15290.74
197,9021,15461.22
198,9021,15456.71
199,9021,15294.72
200,9021,15345.36
201,9021,15210.8
202,9021,15149.11
203,9021,15512.55
204,9021,15440.31
205,9021,15426.1
206,9021,15425.88
207,9021,15425.63
208,9021,15366.12
209,9021,15359.85
210,9021,15339.75
211,9021,15442.22
212,9021,15662.89
213,9021,15418.52
214,9021,15512.73
215,9021,15617.37
216,9021,15575.12
217,9021,15560.57
218,9021,15395.22
219,9021,15291.96
220,9021,15286.26
221,9021,15499.11
222,9021,15471.3
223,9021,15372.15
224,9021,15489.78
225,9021,15406.12
226,9021,15698.32
227,9021,15521.18
228,9021,15340.49
229,9021,15309.22
230,9021,15236.8
231,9021,15687.38
232,9021,15627.82
233,9021,15390.6
234,9021,15455.76
235,9021,15428.2
236,9021,15514.11
237,9021,15624.98
238,9021,15424.74
239,9021,15484.96
240,9021,15598.86
241,9021,15535.73
242,9021,15291.31
243,9021,15360.16
