Generation,BestSolution, Average in Solution
1,9964,15611.21
2,9964,15624.04
3,9964,15612.71
4,9964,15264.52
5,9964,15117.58
6,9964,14939.22
7,9964,15140.83
8,9964,15333.72
9,9964,15711.28
10,9964,15817.53
11,9964,16147.82
12,9964,16448.19
13,9964,16482.86
14,9964,16522.31
15,9964,16650.6
16,9964,17134.03
17,9964,17123.92
18,9964,17018.55
19,9964,17104.11
20,9964,17541.25
21,9964,17434.02
22,9964,17121.39
23,9964,17292.9
24,9964,17098.59
25,9964,17128.65
26,9964,17097.24
27,9964,17176.98
28,9964,16986.8
29,9964,16493.02
30,9587,16838.91
31,9170,16870.19
32,9170,17011.55
33,8930,16975.55
34,8930,17254.87
35,8930,17002.54
36,8930,16929.17
37,8930,16786.67
38,8930,16609.12
39,8930,16602.08
40,8930,15990.15
41,8930,16021.02
42,8930,15408.72
43,8646,15014.03
44,8646,15214.12
45,8646,15315.74
46,8646,15214.69
47,8646,15219.46
48,8633,15032.73
49,8633,15150.88
50,8633,15194.28
51,8633,15186.8
52,8633,15309.85
53,8633,15144.37
54,8633,15240.87
55,8633,15295.14
56,8633,15281.62
57,8633,15142.33
58,8633,15167.83
59,8633,14834.7
60,8633,14630.76
61,8633,14745.48
62,8633,14862.88
63,8633,14832.92
64,8633,14652.59
65,8633,14879.21
66,8633,14871.06
67,8633,14829.18
68,8633,14732.6
69,8633,14884.44
70,8633,14888.66
71,8633,14804.62
72,8633,14750.38
73,8633,14800.52
74,8525,14534.04
75,8525,14616.94
76,8525,14817.02
77,8525,14877.7
78,8478,14678.85
79,8478,14832.86
80,8478,14728.34
81,8478,14780.37
82,8478,14561.33
83,8478,14696.59
84,8478,14704.87
85,8478,14693.65
86,8478,14595.22
87,8478,14627.25
88,8478,14633.79
89,8478,14528.89
90,8478,14684.98
91,8478,14631.31
92,8478,14343.98
93,8478,14327.09
94,8478,14642.35
95,8478,14387.15
96,8478,14454.26
97,8478,14532.98
98,8478,14468.62
99,8478,14363.65
100,8478,14412.26
101,8478,14472.73
102,8478,14537.64
103,8478,14483.31
104,8478,14343.48
105,8478,14535.24
106,8478,14490.45
107,8478,14466.25
108,8478,14437.42
109,8478,14504.89
110,8478,14612
111,8478,14586.48
112,8478,14753.66
113,8478,14724.95
114,8478,15008.37
115,8478,14892.97
116,8478,15196.29
117,8478,14904.61
118,8478,14833.72
119,8420,14820.03
120,8420,14922.72
121,8420,14903.33
122,8420,15039.18
123,8420,14892.76
124,8420,14795.42
125,8420,14880.74
126,8420,14905.32
127,8420,15064.51
128,8420,15078.02
129,8420,14858.98
130,8420,14880.66
131,8420,14965.03
132,8420,15019.73
133,8420,14953.85
134,8420,15013.72
135,8420,14955.23
136,8420,15089.52
137,8420,14900.19
138,8420,14851.14
139,8402,14750.3
140,8276,14572.71
141,8276,15134.03
142,8276,15199.31
143,8276,15164.39
144,8276,15014.3
145,8276,15176.61
146,8276,15228.98
147,8238,15073.95
148,8238,15093.69
149,8238,15294.9
150,8180,15406.35
151,8180,15411.7
152,8180,15072.67
153,8180,14844.12
154,8180,14784.29
155,8180,15016.83
156,8180,14931.82
157,8180,15014.49
158,8180,15097.75
159,8180,14932.54
160,8180,14721.6
161,8180,14750.64
162,8180,14973.24
163,8180,14901.02
164,8180,14987.49
165,8180,15116.37
166,8180,15018.77
167,8180,15044.31
168,8180,14986.22
169,8180,15228.05
170,8180,15259.18
171,8180,15104.99
172,8180,15210.63
173,8180,15122.35
174,8180,15632.9
175,8180,15867.36
176,8180,15949.9
177,8180,16363.38
178,8180,16072.42
179,8180,15809.71
180,8180,15902.41
181,8180,15773.72
182,8180,15337.22
183,8180,15196.67
184,8180,15012.02
185,8180,15594.22
186,8180,15609.24
187,8180,15595.42
188,8180,15674.28
189,8180,15574.05
190,8180,15060.14
