Generation,BestSolution, Average in Solution
1,10085,15766.72
2,10085,15379.84
3,10085,15307.19
4,10085,14858.46
5,10085,15198.63
6,9740,14744.94
7,9740,15111.46
8,9740,15213.62
9,9740,15561.49
10,9740,15575.39
11,9709,15542
12,9709,15839.85
13,9709,16056.75
14,9709,16299.58
15,9709,16389
16,9709,16387.05
17,9709,16313.15
18,9709,16385.47
19,9709,16279.27
20,9709,16440.65
21,9620,16375.18
22,9415,16455.13
23,9415,16246.46
24,9415,16644.15
25,9415,16156.48
26,9415,16126.91
27,9415,16427.06
28,9415,16242.51
29,9415,16029.99
30,9415,16362.06
31,9415,16174.45
32,9415,16438.84
33,9415,16554.22
34,9415,16489.17
35,9415,16294.52
36,9415,16286.73
37,9415,16546.11
38,9415,16425.47
39,9415,16560.13
40,9415,16286.72
41,9415,16203.26
42,9415,15847.8
43,9415,16243.98
44,9415,16217.88
45,9415,15909.16
46,9415,16153.33
47,9415,16057.05
48,9415,15864.04
49,9415,15551.33
50,9415,15756.29
51,9415,16770.73
52,9415,16198.96
53,9415,15821.86
