Generation,BestSolution, Average in Solution
1,9788,15499.92
2,9788,15402.29
3,9788,15245.23
4,9788,15331.83
5,9788,15437.99
6,9788,14623.34
7,9788,15195.9
8,9788,15290.5
9,9788,15815.55
10,9788,15769.92
11,9788,15899.21
12,9788,16307.71
13,9788,16739.41
14,9788,16868.36
15,9788,16624.18
16,9788,16636.25
17,9788,16628.05
18,9788,16666.09
19,9788,16600.75
20,9788,16817.49
21,9788,16825.37
22,9788,16858.46
23,9788,16617.51
24,9788,16442.95
25,9788,16369.5
26,9788,16585.4
27,9788,16630.95
28,9788,16759.96
29,9788,16741.53
30,9788,16809.96
31,9788,16756.47
32,9788,16549.59
33,9788,16568.07
34,9788,16600.64
35,9788,16678.32
36,9788,16737.96
37,9788,16574.79
38,9788,16710.47
39,9788,16767.38
40,9788,16813.91
41,9779,16590.04
42,9779,16917.79
43,9779,16911.48
44,9779,16967.55
45,9779,16548.16
46,9779,16470.55
47,9474,16778.91
48,9474,16909.77
49,9474,16539.18
50,9474,16558.51
51,9474,16665.73
52,9474,16961.77
53,9173,16586.93
54,9173,16940.53
55,8910,16168.12
56,8673,16032.23
57,8673,15776.92
58,8673,15935.92
59,8673,15685.81
60,8673,15773.97
61,8591,15165.66
62,8591,14544.12
63,8531,14640.23
64,8531,14866.62
65,8531,15053.52
66,8531,15254.21
67,8531,15214.45
68,8531,15234.07
69,8531,15165.08
70,8531,15193.31
71,8531,15212.7
72,8523,14681.76
