Generation,BestSolution, Average in Solution
1,9839,15723.78
2,9839,15225.59
3,9839,15305.64
4,9839,15134.91
5,9839,15014.05
6,9839,15043.42
7,9839,15118.47
8,9839,15313.46
9,9839,15725.08
10,9839,15819.68
11,9839,16272.29
12,9839,16330.92
13,9839,16530.02
14,9619,16099.87
15,9619,16096.7
16,9408,15806.65
17,9408,16181.26
18,9408,16247.93
19,9408,16319.1
20,9408,16467.62
21,9408,16576.24
22,9408,16546.5
23,9408,16672.62
24,9408,16528.64
25,9408,16442.22
26,9408,16668.67
27,9408,16380.34
28,9408,16373.72
29,9408,16337.64
30,9408,16185.61
31,9408,16319.7
32,9408,16413.62
33,9390,16138.99
34,8928,16147.51
35,8928,16334.05
36,8928,16103.54
37,8894,16074.43
38,8894,16169.61
39,8894,16206.55
40,8894,16232.27
41,8894,16213.89
42,8894,16207.96
43,8894,16244.17
44,8894,16144.17
45,8894,16226.58
46,8894,16005.67
47,8793,16081.21
48,8793,16338.6
49,8793,16382.62
50,8793,16385.44
51,8793,16217.43
52,8245,15985.56
53,8245,16079.84
54,8245,16275
55,8245,16369.04
56,8245,16265.73
57,8245,16329.21
58,8245,16307.21
59,8245,16376.48
60,8245,16103.18
61,8245,15964.8
62,8176,15595.1
63,8113,15419.22
64,7988,14478.58
