Generation,BestSolution, Average in Solution
1,9341,15654.51
2,9341,15629.91
3,9341,15388.76
4,9341,15476.84
5,9341,15593.91
6,9341,15322.13
7,9341,15527.96
8,9341,15240.03
9,9341,15468.36
10,9341,15326.19
11,9341,15882.08
12,9341,16082.12
13,9341,16151.72
14,9341,16104.75
15,9341,16478.62
16,9341,16318.7
17,9341,16342.27
18,9341,16220.98
19,9341,16184.09
20,9341,16427.67
21,9341,16321.88
22,9341,15966.8
23,9341,16220.83
24,9341,15875.12
25,9341,15912.24
26,9341,16111.17
27,9341,15792.91
28,9341,15910.81
29,9341,16153.3
30,9341,16163.82
31,9341,16199.71
32,9341,16449.77
33,9341,16536.33
34,9341,16405.37
35,9341,16508.74
36,9341,16364.45
37,9341,16529.96
38,9341,16220.67
39,9341,16383.5
40,9341,16392.18
41,9341,16432.71
42,9341,16129.81
43,9341,16212.58
44,8665,16133.58
45,8665,16382.42
46,8665,16240.47
47,8665,16358.8
48,8665,16705.64
49,8665,16728.58
50,8665,16375.31
51,8665,15917.93
52,8665,16386.64
53,8665,16243.17
54,8665,16590.06
55,8665,16527.55
56,8659,16482.27
57,8659,16307.02
58,8659,16594.99
59,8659,16180.25
60,8659,16362.81
61,8659,16384.43
62,8659,16329.13
63,8659,16178.94
64,8659,16464.9
65,8659,16695.21
66,8659,16643.45
67,8659,16612.41
68,8659,16611.64
69,8659,16613.23
70,8659,16740.07
71,8659,16841.65
72,8659,16783.3
73,8490,16692.48
74,8490,16578.75
75,8416,16286.42
76,8416,16519.41
77,8416,16619.21
78,8350,16444.94
79,8350,16523.72
80,8350,16505.48
81,8350,16605.4
82,8350,16765.89
83,8350,16398.97
84,8350,16323.93
85,8350,16580.76
86,8350,16623.73
87,8350,16201.22
88,8350,16317.5
89,8288,16072.89
90,8213,16166.57
91,8174,16145.73
92,8174,15965.59
93,8174,15902.78
