Generation,BestSolution, Average in Solution
1,9750,15310.61
2,9750,15192.18
3,9750,15364.13
4,9750,15353.54
5,9750,15119.24
6,9750,15047.31
7,9750,15211.78
8,9750,15853.89
9,9750,16106.82
10,9750,16389.72
11,9750,16821.22
12,9750,16941.89
13,9750,17129.34
14,9750,16984.2
15,9750,17360.51
16,9750,17428.58
17,9750,17152.71
18,9750,16857.66
19,9750,16527.15
20,9750,16550.12
21,9750,16639.15
22,9750,16736.63
23,9750,16698.39
24,9750,16471.03
25,9750,16702.22
26,9514,16864.08
27,9262,16632.62
28,9262,16587.28
29,9262,16580.26
30,9262,16592.32
31,9262,16643.06
32,9262,16642.23
33,9262,16599.75
34,9228,16162.1
35,9228,16308.05
36,9228,16355.92
37,9228,16343.74
38,9228,16562.43
39,9228,16584.85
40,9228,16892.18
41,9228,16942.4
42,9228,17103.06
43,9228,17073.59
44,9228,16873.77
45,9228,16980.22
46,9228,17039.9
47,9228,17440.73
48,9228,17334.03
49,9228,17185.52
50,9228,17335.07
51,9228,17383.75
52,9228,17291.08
53,9228,17464.15
54,9228,17483.61
