Generation,BestSolution, Average in Solution
1,9230,15616.89
2,9230,15664.61
3,9230,15189.23
4,9230,15144.96
5,9230,14860.26
6,9230,14942.93
7,9230,15122.59
8,9230,15443.36
9,9230,15848.35
10,9230,15843.71
11,9230,15853.38
12,9230,16162.18
13,8171,16571.1
14,8171,16684.4
15,8171,16411.77
16,8171,16301.45
17,8171,16213.92
18,8171,15849.9
19,8171,16094.35
20,8171,15949.86
21,8171,16185.28
22,8171,16263.58
23,7899,16042.04
24,7899,15919.59
25,7899,16116.49
26,7899,16256.68
27,7899,16433.09
28,7714,16371.94
29,7703,16278.98
30,7703,16380.76
31,7703,15967.28
32,7703,16469.97
33,7703,16588.38
34,7703,16717.7
35,7703,16683.34
36,7703,16670.76
37,7703,16497.24
38,7703,16193.35
39,7703,16354.14
40,7703,16173.12
41,7703,16424.16
42,7703,15889.23
43,7703,15882.3
44,7703,15945.23
45,7703,16006.06
46,7703,15753.58
47,7703,16035.02
48,7703,16209.37
49,7703,16048.67
50,7703,16301.24
51,7703,16113.28
52,7703,15769.3
53,7703,15607.79
54,7703,15932.9
55,7703,16512.83
56,7703,16481.03
57,7682,16290.32
58,7682,15778.32
59,7613,15838.85
60,7560,15499.6
61,7560,14377.82
