Generation,BestSolution, Average in Solution
1,10503,15722.53
2,10503,15457.8
3,10468,15648.38
4,10468,15469.33
5,9914,15472.08
6,9802,14844.37
7,9802,15266.92
8,9802,15058.21
9,9613,15417.34
10,9613,15959.16
11,9613,16264.15
12,9613,16455.4
13,9613,16547.04
14,9369,16375.23
15,9369,16160.26
16,9369,16155.75
17,9369,16233.75
18,9369,16208.57
19,9369,16260.14
20,9369,16412.81
21,9369,16407.08
22,9351,16142.01
23,9351,16248.14
24,9351,16193.92
25,9351,16227.71
26,9351,15986.03
27,9351,15990.17
28,9351,16210.46
29,9351,16422.14
30,9351,16384.48
31,9351,16215.98
32,9351,16104.04
33,9351,16066.18
34,9351,16153.62
35,9351,16147.39
36,9351,16124.35
37,9351,16176.41
38,9351,16093.08
39,9351,16005.38
40,9351,16101.69
41,9351,16193.02
42,9351,16184.37
43,9351,16078.82
44,9351,16061.81
45,9351,15984.44
46,9351,15819.96
47,9351,15859.69
48,9351,15997.98
49,9351,15962.68
50,9351,15969.15
51,9351,15984.1
52,9351,15940.59
53,9351,15840.09
54,9351,15876.03
55,9351,15890.63
56,9282,15594.81
57,9282,15479.95
58,9282,15844.22
59,9282,15494.7
60,9282,15777.57
61,9282,15821.29
62,9282,16068.46
63,9282,15890.16
64,9282,15962.86
65,9282,15766.28
66,9282,15613.83
67,9282,15741.97
68,9282,15618.48
69,9282,15761.9
70,9282,15464.05
71,9282,15903.27
72,9282,15962.38
73,9282,16000.05
74,9282,15768.95
75,9282,16009.91
76,9282,15910.62
77,9282,15502.25
78,9282,15853.68
79,9282,15796.35
80,9282,15567.86
81,9266,15284.12
82,9266,15252.95
83,9266,15288.05
84,9141,15480.25
85,9141,15557.74
86,9141,15654.12
87,9141,15538.87
88,9141,15365.48
