Generation,BestSolution, Average in Solution
1,9870,15805.51
2,9870,15645.38
3,9870,15600.02
4,9870,16010.43
5,9870,15424.88
6,9870,15983.68
7,9870,15367.33
8,9870,15524.18
9,9870,16129.85
10,9870,16131.24
11,9870,15852.89
12,9870,16025.35
13,9870,15944.85
14,9870,16308.07
15,9870,16486.7
16,9870,16362.47
17,9870,16280.9
18,9870,16163.36
19,9870,16196.47
20,9646,16073.42
21,9646,15709.05
22,9646,15323.29
23,9452,15241.92
24,9452,15330
25,9452,15627.51
26,9452,15353.14
27,9452,15295.09
28,9452,15197.68
29,9452,15136.36
30,9452,15278.73
31,9452,15144.98
32,9452,15189.19
33,9452,15150.09
34,9452,15316.51
35,9452,15036.63
36,9452,14913.94
37,9452,14918.75
38,9452,14800.99
39,9452,14982.97
40,9452,14880.31
41,9452,14875.88
42,9452,14819.5
43,9452,14744.28
44,9452,14776.07
45,9452,14995.22
46,9452,14970.39
47,9452,15199.15
48,9452,14743.92
49,9452,15642.76
50,9128,15025.36
51,9128,15295.33
52,9128,15369.22
53,9128,15478.94
54,9128,15403.03
55,9128,15387.85
56,9128,15492
57,9128,15029.79
58,9128,15285.26
59,9128,15531.11
60,9128,15630.79
61,9128,15943.17
62,9128,15863.72
63,9128,15550.33
