Generation,BestSolution, Average in Solution
1,10645,15485.36
2,9848,15351.32
3,9848,15360.54
4,9848,15154.99
5,9848,14952.15
6,9848,14705.82
7,9848,14609.39
8,9848,15252.4
9,9848,15298.44
10,9848,15549.58
11,9848,15701.08
12,9848,16192.5
13,9848,16427.51
14,9848,16570.72
15,9848,16974.5
16,9848,16859.51
17,9848,16548.21
18,9848,16436.04
19,9848,16426.8
20,9848,16626.96
21,9848,16415.77
22,9848,16364.6
23,9848,16391.99
24,9848,16344.19
25,9848,16543.29
26,9848,16752.27
27,9848,16770.39
28,9848,16856.56
29,9848,17007.86
30,9848,16531.11
31,9815,16585.42
32,9815,16779.97
