Generation,BestSolution, Average in Solution
1,8582,15386.88
2,8582,14877.36
3,8582,15173.2
4,8582,14723.93
5,8582,14903.51
6,8582,15253.08
7,8582,15035.62
8,8582,15031.7
9,8582,15385.9
10,8582,15645.63
11,8582,15820.33
12,8582,15991.51
13,8582,16223.29
14,8582,16129.71
15,8582,16151.96
16,8582,16133.33
17,8582,16164.66
18,8582,16277.07
19,8582,16499.37
20,8582,16870.46
21,8582,16747.7
22,8582,16358.85
23,8582,15995.81
24,8582,16338.07
25,8582,16432.88
26,8582,16419
27,8582,16402.16
28,8582,16808.03
29,8582,16489.52
30,8083,16368.31
31,8083,16278.04
32,8083,15909.44
33,8083,16302.29
34,8083,15856.48
35,8083,16267.47
36,8083,16437.1
37,8083,16632.11
38,8083,16524.83
39,8083,16886.76
40,8083,17113.55
41,8083,16890.69
42,8083,16165.67
43,8083,16786.75
44,8083,16743.65
45,8083,16538.29
46,8083,16484.87
47,8083,16570.04
48,8083,16393.44
49,8083,16644.24
50,8083,16907.86
51,8083,16917.05
52,8083,16726.16
53,8083,16765.66
54,8083,16610.15
55,8083,16779.25
56,8083,16887.84
57,8083,17175.93
58,8083,17127.42
59,8083,16553.1
60,8083,16667.27
61,8083,16609.41
62,8083,16295.31
63,8083,16097.2
64,8083,16122.08
65,8083,16077.81
66,8083,16116.89
67,8083,16456.15
68,8083,16299.76
69,8083,16203.7
70,8083,16216.41
71,8083,16345.26
72,8083,16145.06
73,8083,15854.21
74,8083,16134.15
75,8083,15412.18
76,8083,15238.71
77,8083,15050.51
78,8083,15021.21
79,8083,15135.37
80,8083,15230.46
81,8083,15116.09
82,8083,15056.14
83,8083,14901.28
84,8083,15094.5
85,8083,14966.4
86,8083,15108.2
87,8083,15210.89
88,8083,15159.08
89,8083,14855.87
90,8083,14926.13
91,8083,14941.18
92,8083,14999.69
93,8083,14857.73
94,8083,15216.03
95,8083,15208.31
96,8083,14903.91
97,8083,14825.17
98,8083,14884.48
99,8083,14855.83
100,8083,14626.72
101,8083,13474.7
102,8083,13573.2
103,8083,13842.67
104,8083,14021.5
105,8083,14136.6
106,8083,14117.04
107,8083,14207.23
108,8083,14160.18
109,8083,14168.36
110,8053,13988.08
111,8053,14264.8
112,8053,14181.53
113,8053,14377.53
114,8053,14464.45
115,8053,14168.86
116,8053,14127.85
117,8053,14107.34
118,8053,14128.52
119,8053,14217.86
120,8053,14194.73
121,8053,14133.08
122,8053,14197.51
123,8053,14228.12
124,8053,14129.1
125,8053,14226.48
126,8053,14295.17
127,8053,14151.77
128,8053,14240.63
129,8053,14035.25
130,8053,14196.2
131,8053,14398.56
132,8053,14262.17
133,8053,14208.54
134,8053,14179.75
135,8053,14008.25
136,8053,14135.17
137,8053,14162.57
138,8053,14053.72
139,8053,14213.35
140,8053,14115.35
141,8053,14172.38
142,8053,14321.67
143,8053,14228.2
144,8053,14382.07
145,8053,14150.07
146,8053,14338.67
147,8053,14439.85
148,8053,14107.98
149,8053,14154.09
150,8053,14129.53
151,8053,14356.51
152,8053,14290.72
153,8053,14108.78
154,8053,14222.91
155,8053,14305.71
156,8053,14275.18
157,8053,14438.51
158,8053,14237.48
159,8053,14146.95
160,8053,14110.61
161,8053,14016.57
162,8053,14209.94
163,8053,14202.68
164,8053,14090.41
165,8053,14207.75
166,8053,14289.19
167,8053,14395.12
168,8053,14362.95
169,8053,14303.58
170,8053,14228.21
171,8053,14197.48
172,8053,14247.42
173,8053,14060.44
174,8053,14163.22
175,8053,14196.02
176,8053,14106.98
177,8053,14143.39
178,8053,14156.24
179,8053,14144.51
180,8053,14191.06
181,8053,14405.71
182,8053,14222.1
183,8053,14224.71
184,8053,14270.91
185,8053,14463.89
186,8053,14167.85
187,8053,14036.66
188,8053,14095.02
189,8053,14326.82
190,8053,14222.6
191,8053,14284.16
192,8053,14178
193,8053,14205.5
194,8053,14174.94
195,8053,14076.15
196,8053,14016.9
197,7825,13993.46
198,7825,13987.07
