Generation,BestSolution, Average in Solution
1,9766,15834.29
2,9766,15733.63
3,9766,15257.04
4,9766,15124.18
5,9766,15072.26
6,9766,14827.57
7,9766,14983.65
8,9766,15333.98
9,9766,15267.32
10,9766,15015.04
11,9766,15623.52
12,9257,15445.01
13,9257,15725
14,9257,16121.3
15,9257,16262.19
16,9257,16261.12
17,9257,16305.15
18,9257,16349.12
19,9257,16438.7
20,9257,16369.59
21,9257,16366.82
22,9038,16039.07
23,8861,15848.99
24,8861,15796.22
25,8861,15767.86
26,8861,16011.24
27,8861,15531.35
28,8861,15458.22
29,8861,15042.34
30,8861,15016.47
31,8861,14907.47
32,8861,14727.81
33,8740,14687.48
34,8740,14978.46
35,8740,14855.54
36,8740,14774.25
37,8740,14764.22
38,8740,15013.71
39,8740,15176.06
40,8740,15139.15
41,8740,15271.35
42,8740,14823.95
43,8740,14866.64
44,8740,15085.85
45,8740,15083.16
46,8740,15081.87
