Generation,BestSolution, Average in Solution
1,9577,15735.59
2,9577,15867.19
3,9577,15530.48
4,9577,15803.24
5,9577,15629.67
6,9577,15718.2
7,9577,16008.44
8,9577,16018.63
9,9577,15874.79
10,9577,16091.75
11,9577,15922.62
12,9577,16202.56
13,9577,15896.9
14,9577,16091.26
15,9577,16385.97
16,9577,16396.96
17,9577,16431.88
18,9577,16328.77
19,9577,16409.55
20,9577,16444.02
21,9577,16280.83
22,9577,16233.44
23,9577,16383.49
24,9577,16297.02
25,9577,16311.4
26,9577,16273.91
27,9577,16304.09
28,9577,16391.29
29,9577,16236.97
30,9577,16383.27
31,9577,16480.72
32,9577,16526.82
33,9577,16408.09
34,9529,16295.12
35,9168,16104.45
36,9168,16488.39
37,9144,16439.87
38,9144,16347.95
39,9144,16386.35
40,9144,16221.02
41,9144,16437.98
42,9144,16089.74
43,9144,15919.39
44,9144,15966.7
45,9144,15680.2
46,9144,15691.44
47,9144,15851.04
48,9144,15616.33
49,9144,15472.62
50,9069,15620.16
51,9069,15430.45
52,9069,15477.52
53,8735,15388.81
54,8735,15418.48
55,8735,15161.48
56,8634,15263.67
57,8634,15075.45
58,8634,14948.28
59,8634,14966.95
60,8634,15020.66
61,8634,14880.21
62,8634,15002
63,8634,14772.21
64,8634,14618.39
65,8634,14680.32
66,8634,14635.91
67,8615,14564.93
68,8615,14494.81
69,8615,14517.22
70,8615,14439.88
71,8615,14431.72
72,8615,14425.25
73,8615,14367.04
74,8615,14415.67
75,8615,14389.88
76,8615,14505.87
77,8615,14387.47
78,8615,14504.75
79,8410,14329.95
80,8216,14484.88
81,8216,14579.14
82,8216,14681.2
83,8216,14756.22
84,8216,14621.25
85,8216,14646.06
86,8216,14527.08
87,8216,14463.12
88,8216,14491.51
89,8216,14518.14
90,8216,14612.15
91,8216,14574.58
92,8216,14530.92
93,8216,14510.66
94,8216,14539.9
95,8216,14484.39
96,8216,14506.31
97,8216,14637.22
98,8216,14607.03
99,8216,14450.4
100,8216,14527.33
101,8216,14477.46
102,8216,14459.96
