Generation,BestSolution, Average in Solution
1,10026,15779.15
2,10026,15298.86
3,10026,15193.13
4,10026,14913.44
5,10026,14963
6,10026,15050.53
7,10026,15073.79
8,10026,15587.85
9,10026,15623.9
10,10026,16325.08
11,10026,16405.99
12,10026,16675.86
13,10026,16929.32
14,10026,17097.63
15,10026,17253.59
16,10026,17135.88
17,10026,16905.38
18,10026,16775.7
19,10026,16889.43
20,10026,16852.63
21,10026,16649.24
22,9123,16202.24
23,9123,16164.39
24,9123,16213.25
25,9123,16157.83
26,9123,16331.98
27,9123,16573.44
28,9123,16326.77
29,9123,16585.98
30,9123,16732.03
31,9123,16791.34
32,9123,17087.13
33,9123,16927.51
34,9123,16840.6
35,9123,17168.2
36,9123,16905.91
37,9123,17053.12
38,9123,16443.42
39,9123,16467.09
40,9123,16403.52
41,9123,16511.49
42,9123,16325.82
43,9123,16377.48
44,9123,16017.76
45,9089,15783.76
46,9089,16133.67
47,9089,15977.14
48,9089,15732.13
49,9089,15948.31
50,9089,15907.91
51,9089,16006.49
52,9089,16053.73
53,9089,16184.2
54,9089,16322.59
55,9089,16169.98
56,8929,16381.14
57,8929,16148.11
58,8929,15992.83
59,8929,16086.91
