Generation,BestSolution, Average in Solution
1,9669,16042.44
2,9669,15742.04
3,9669,15589.12
4,9669,15329.28
5,9669,15077.89
6,9669,15310.66
7,9669,15084.89
8,9669,15472.99
9,9669,15328.33
10,9669,15492.12
11,9669,16038.83
12,9669,16241.37
13,9669,16532.02
14,9669,16657.62
15,9669,16529.68
16,9669,16475.49
17,9669,16436.87
18,9669,16431.27
19,9669,16428.17
20,9669,16567.4
21,9669,16550.37
22,9669,16373.85
23,9669,16404.06
24,9669,16422.95
25,9669,16380.07
26,9669,16337.11
27,9669,16239.24
28,9669,16102.17
29,9669,16318.16
30,9669,16250.18
31,9669,16191.7
32,9669,16273.82
33,9669,16283.2
34,9669,16275.37
35,9669,16446.2
36,9669,16519.84
