Generation,BestSolution, Average in Solution
1,9655,15319.09
2,9655,15548.52
3,9655,15451.77
4,9655,15036.22
5,9655,14869.13
6,9655,15200.84
7,9655,14882.32
8,9655,14483.34
9,9655,14843.01
10,9655,15208.86
11,9655,15425.09
12,9655,15479.35
13,9655,15557.23
14,9655,15656.58
15,9655,15757.06
16,9655,16020.89
17,9655,15830.18
18,9655,15955.27
19,9655,15561.54
20,9655,16094.92
21,9655,15983.48
22,9655,15882.74
23,9655,15788.16
24,9655,15889.39
25,9655,15669.4
26,9655,15572.4
27,9655,15510.13
28,9655,15494.91
29,9655,15438.79
30,9655,15320.27
31,9655,15362.45
32,9655,15760.62
33,9655,15766.56
34,9655,15706.62
35,9655,15901.26
36,9655,16127.27
37,9655,15979.76
38,9655,16062.27
39,9655,15942.68
40,9655,16032.79
41,9655,15670.04
42,9655,15704.74
43,9655,15827.8
44,9655,15832.22
45,9655,15808.64
46,9655,15654.4
47,9655,15452.61
48,9655,15659.69
49,9655,15393.46
50,9655,15036.2
51,9655,15356.2
52,9655,15457.09
53,9655,15496.9
54,9655,15475.65
55,9655,15226.04
56,9655,15199.5
57,9655,15371.59
58,9655,15385.4
59,9655,15381.63
60,9655,15262.47
61,9655,15316.92
62,9655,15259.35
63,9655,15230.47
64,9655,15308.16
