Generation,BestSolution, Average in Solution
1,225420.06,251017.95
2,213906.54,249456.27
3,213906.54,248917.24
4,213906.54,247769.16
5,213906.54,244921.55
6,213906.54,243833.38
7,211763.2,243227.45
8,211763.2,245395.3
9,211763.2,247397.55
10,211763.2,247155.86
11,211763.2,246860.32
12,208763.79,246735.56
13,206296.02,246660.99
14,205637.67,247335.85
15,204774.47,246833.16
16,204774.47,245555.67
17,204774.47,244682.13
18,204774.47,243755.79
19,204774.47,242868.07
20,204774.47,243703.78
21,203022.19,243175.63
22,203022.19,243261.49
